DATE,Rate _High_School
10/1/2004,4.8
11/1/2004,4.8
12/1/2004,4.8
1/1/2005,4.7
2/1/2005,4.9
3/1/2005,4.7
4/1/2005,4.4
5/1/2005,4.5
6/1/2005,4.8
7/1/2005,4.8
8/1/2005,4.7
9/1/2005,4.9
10/1/2005,4.8
11/1/2005,4.8
12/1/2005,4.5
1/1/2006,4.4
2/1/2006,4.4
3/1/2006,4.1
4/1/2006,4.4
5/1/2006,4.3
6/1/2006,4.1
7/1/2006,4.5
8/1/2006,4.6
9/1/2006,4.1
10/1/2006,4.1
11/1/2006,4.3
12/1/2006,4.3
1/1/2007,4.3
2/1/2007,4.3
3/1/2007,4
4/1/2007,4.1
5/1/2007,4.4
6/1/2007,4.1
7/1/2007,4.6
8/1/2007,4.4
9/1/2007,4.5
10/1/2007,4.6
11/1/2007,4.5
12/1/2007,4.7
1/1/2008,4.7
2/1/2008,4.7
3/1/2008,5.1
4/1/2008,5
5/1/2008,5
6/1/2008,5.1
7/1/2008,5.4
8/1/2008,5.8
9/1/2008,6.2
10/1/2008,6.4
11/1/2008,7
12/1/2008,7.8
1/1/2009,8.2
2/1/2009,8.5
3/1/2009,9.2
4/1/2009,9.5
5/1/2009,10
6/1/2009,9.7
7/1/2009,9.5
8/1/2009,9.7
9/1/2009,10.6
10/1/2009,11
11/1/2009,10.3
12/1/2009,10.6
1/1/2010,10.2
2/1/2010,10.7
3/1/2010,11
4/1/2010,10.8
5/1/2010,10.9
6/1/2010,10.6
7/1/2010,10
8/1/2010,10
9/1/2010,9.7
10/1/2010,9.8
11/1/2010,10
12/1/2010,9.8
1/1/2011,9.5
2/1/2011,9.7
3/1/2011,9.7
4/1/2011,9.9
5/1/2011,9.6
6/1/2011,10
7/1/2011,9.1
8/1/2011,9.3
9/1/2011,9.4
10/1/2011,9.4
11/1/2011,8.8
12/1/2011,8.7
1/1/2012,8.5
2/1/2012,8.3
3/1/2012,8.1
4/1/2012,8
5/1/2012,8.3
6/1/2012,8.6
7/1/2012,8.5
8/1/2012,8.6
9/1/2012,8.5
10/1/2012,8.3
11/1/2012,8
12/1/2012,8
1/1/2013,8.1
2/1/2013,7.9
3/1/2013,7.7
4/1/2013,7.5
5/1/2013,7.3
6/1/2013,7.7
7/1/2013,7.5
8/1/2013,7.4
9/1/2013,7.6
10/1/2013,7.2
11/1/2013,7.2
12/1/2013,7
1/1/2014,6.5
2/1/2014,6.4
3/1/2014,6.3
4/1/2014,6.2
5/1/2014,6.5
6/1/2014,5.9
7/1/2014,6.1
8/1/2014,6.1
9/1/2014,5.4
10/1/2014,5.7
11/1/2014,5.7
12/1/2014,5.3
1/1/2015,5.4
2/1/2015,5.4
3/1/2015,5.3
4/1/2015,5.5
5/1/2015,5.8
6/1/2015,5.4
7/1/2015,5.5
8/1/2015,5.5
9/1/2015,5.3
10/1/2015,5.2
11/1/2015,5.4
12/1/2015,5.6
1/1/2016,5.1
2/1/2016,5.1
3/1/2016,5.3
4/1/2016,5.5
5/1/2016,5.1
6/1/2016,5.1
7/1/2016,5.1
8/1/2016,5
9/1/2016,5.2
10/1/2016,5.5
11/1/2016,5
12/1/2016,5.1
1/1/2017,5.2
2/1/2017,4.9
3/1/2017,4.9
4/1/2017,4.6
5/1/2017,4.7
6/1/2017,4.5
7/1/2017,4.5
8/1/2017,5
9/1/2017,4.3
10/1/2017,4.2
11/1/2017,4.4
12/1/2017,4.2
1/1/2018,4.5
2/1/2018,4.5
3/1/2018,4.3
4/1/2018,4.3
5/1/2018,3.9
6/1/2018,4
7/1/2018,4
8/1/2018,3.9
9/1/2018,3.7
10/1/2018,4
11/1/2018,3.5
12/1/2018,3.8
1/1/2019,3.8
2/1/2019,3.8
3/1/2019,3.7
4/1/2019,3.4
5/1/2019,3.5
6/1/2019,3.8
7/1/2019,3.6
8/1/2019,3.5
9/1/2019,3.5
10/1/2019,3.7
11/1/2019,3.7
12/1/2019,3.7
1/1/2020,3.9
2/1/2020,3.7
3/1/2020,4.4
4/1/2020,17.6
5/1/2020,15.8
6/1/2020,12.2
7/1/2020,10.7
8/1/2020,9.7
9/1/2020,9.1
10/1/2020,8.2
11/1/2020,7.9
12/1/2020,7.9
1/1/2021,7.1
2/1/2021,7.1
3/1/2021,6.6
4/1/2021,6.9
5/1/2021,6.9
6/1/2021,6.9
7/1/2021,6.2
8/1/2021,5.9
9/1/2021,5.7
10/1/2021,5.4
11/1/2021,5.2
12/1/2021,4.6
1/1/2022,4.6
>>>>>>> main,
